  bundle: /custom_robot/assets/index-BcLhoKCZ.js   base: http://127.0.0.1:4300/

CONTACT SURVEY — grid, tier ULTRA, seed 1234567, ticks 300..900 step 20
  gapL/gapR: millimetres from the deck to the LOWEST SKINNED VERTEX carried by
             that foot, in the pose that would be photographed. The sim's own
             grounded flag is printed beside it. CONTACT = grounded AND a foot
             within 45 mm AND the pool in frame.

   tick |          ROBOT 1 (player)          |         ROBOT 2 (opponent)        | ct
        |  air  gnd  gapL gapR  hPx  below   |  air  gnd  gapL gapR  hPx  below  |
  ----------------------------------------------------------------------------------
    300 |  0.00  Y    863  869  237    -66   | -2.54  -  -2347-2378   75    789  |   -
    320 |  0.00  Y     -6   -6  230    -34   |  2.33  -   3379 3390   65    599  |   -
    340 |  0.00  Y    -25   36  219    -15   |  2.75  -   2911 2947   66    568  |   -
    360 |  0.48  -    355  501  201     29   |  0.98  -   2211 2027   63    478  |   -
    380 |  0.00  Y     88   38  245    100   |  0.00  Y    210  210   83    459  |   -
    400 |  0.00  Y    -39    5  224     69   |  1.68  -   1859 1868   82    471  |   -
    420 |  1.12  -   1175 1143  180    -95   |  3.11  -   4697 4491   69    513  |   -
    440 |  2.53  -   2578 2550  136   -243   |  2.40  -   2639 2505   59    583  |   -
    460 |  2.82  -   2880 2845   92   -281   |  0.00  Y    203  210   57    710  |   -
    480 |  4.08  -   3932 4060   35   -135   |  0.00  Y     45  187   47    700  |   -
    500 |  3.67  -   3618 3745   48   -161   |  0.92  -   1097 1113   47    671  |   -
    520 |  1.50  -   1550 1526  158   -375   |  2.25  -   2421 2435   55    648  |   -
    540 |  0.00  Y    -16   46  260   -249   |  1.67  -   1843 1862   58    650  |   -
    560 |  0.00  Y     41   37  251   -140   |  0.00  Y    170  212   65    683  |   -
    580 |  0.00  Y      3   25  227   -111   |  0.83  -    851 1009   67    669  |   -
    600 |  0.00  Y     40   -1  253   -117   |  0.00  Y    202  215   67    679  |   -
    620 |  1.82  -   2515 2593  111   -229   |  1.94  -   2119 2137   65    661  |   -
    640 |  2.16  -   3530 3474   60   -448   |  2.13  -   2302 2321   60    663  |   -
    660 |  0.00  Y   1210 1249   47   -823   |  2.56  -   3382 3393   61    645  |   -
    680 |  0.00  Y    -16   -8   87   -770   |  3.09  -   4178 4039   60    627  |   -
    700 |  0.35  -    423  364  154   -317   |  1.42  -   1884 1820   63    687  |   -
    720 |  2.43  -   2490 2434  127   -206   |  0.00  Y    208  212   61    635  |   -
    740 |  2.26  -   2299 2123  125   -109   |  0.00  Y    213  204   55    539  |   -
    760 |  0.71  -    750  552  163     13   |  0.00  Y    214  202   67    546  |   -
    780 |  0.00  Y     -3  -23  151     21   |  1.89  -   2077 2059   95    597  |   -
    800 |  0.00  Y    -19   18  151     45   |  2.17  -   2357 2336   96    534  |   -
    820 |  0.00  Y     27  -17  162     44   |  1.48  -   1485 1646   97    569  |   -
    840 |  1.61  -   1745 1510  189    -83   |  0.58  -    589  750   79    447  |   -
    860 |  2.28  -   2469 2224  159   -137   |  0.00  Y    211  208   73    493  |   -
    880 |  0.00  Y    439  295  209     39   |  0.14  -    341  328   86    602  |   -
    900 |  0.00  Y     -6   -6  140     18   |  2.05  -   2232 2233   90    605  |   -

  NO FRAME WITH A CONTACT in this range. Nothing here can carry a grounding number.

[exited with code 0]
