WHAT IS ON THE OPPONENT — shots/r34c-off   bundle 766a1ae2d08b
  grid @ HIGH, seed 1234567, blast tick 956
  opponent = the SMALLER stencil box, same rule as _r25-cover.mjs.

  age    ms  | nbox    px  |  L>25    L>60 |  Lmed  Lp90 |     R     G     B   warm
    1    17  |   2   2048  | 100.0    54.9 |    70   228 |   132   109   112   0.15
    7   117  |   2   2438  |  20.3    17.4 |   107   213 |   142   107    89   0.38
    8   133  |   2   2348  |  24.5    20.7 |    98   221 |   156   103    49   0.69
   14   233  |   2   2145  | 100.0   100.0 |   203   228 |   246   197     3   0.99
   20   333  |   2   1569  | 100.0    92.0 |   133   165 |   201   117     5   0.98
   26   433  |   2   1609  |  81.2    59.2 |    68   109 |   110    61    20   0.82
   32   533  |   3!   369  |   1.6     0.5 |    38    62 |     0    39    99  -98.73
   48   800  |   2   1467  | 100.0     0.0 |    39    42 |    50    36    32   0.35

  ! 1 age(s) did not segment to two machine boxes. NEVER QUOTE A FLAGGED ROW.
